,latitude,longitude
0,34.4675274,-85.6994436
1,30.6865905,-88.2182346
2,32.3816865,-86.1833115
3,32.8412329,-85.1780282
0,61.1948214,-149.9179842
1,61.5775617,-149.4099111
0,33.4381922,-112.55789
1,33.3048116,-111.9433529
2,33.2818774,-111.7886418
3,33.6093929,-112.1846895
4,33.5690281,-112.1848906
5,33.5097845,-112.2037058
6,33.3793059,-112.1692215
7,33.379523,-112.0318193
8,33.3928196,-111.8615534
10,33.3850058,-111.8068336
11,33.4660821,-112.2213566
12,33.5225841,-112.0951201
15,33.4799938,-111.9937022
16,33.494541,-112.1272796
17,33.4654961,-112.082056
18,33.4944469,-112.171143
19,33.5811762,-112.1234605
20,33.256518,-111.6364948
21,33.3790897,-111.9766553
22,32.1888756,-110.9693126
23,33.4343136,-111.9259098
25,32.2636803,-110.9431659
28,32.1343546,-111.0021703
29,32.6714327,-114.621894
0,36.3751158,-94.2221626
1,35.0925328,-92.4681804
2,35.3458818,-94.3369035
3,34.4575593,-93.0634892
5,34.795837,-92.2303684
6,34.1757239,-92.0055132
7,35.824349,-90.6696704
0,32.5833091,-117.1162262
2,34.0952247,-118.1261204
3,38.1809856,-122.2539141
4,33.860672,-117.7922615
5,33.8170735,-117.9420129
6,38.7129282,-121.3662742
8,34.9850842,-118.9412847
9,38.9411994,-121.0961608
10,35.4011904,-119.0917502
11,35.3207148,-119.0918539
12,35.3926592,-118.9505535
13,34.0708844,-117.9793102
14,33.924319,-116.9472512
15,33.9707194,-118.1632781
16,33.9015792,-118.1256065
17,33.7567144,-116.3019264
18,37.9612992,-121.7337503
19,34.1878671,-118.3165312
20,34.2365954,-119.0370514
21,37.2661847,-121.9417115
22,34.1947841,-118.5879596
23,34.4174506,-118.45691
24,33.1765609,-117.3254266
25,38.6364587,-121.3287413
26,33.8439058,-118.2609355
27,33.8077544,-118.2721449
28,37.6082646,-120.9404816
29,33.8591212,-118.0900679
30,39.7373139,-121.8339168
31,33.9842021,-117.7130308
32,32.6446571,-116.9966014
33,40.6910814,-73.924203
34,38.6798918,-121.2694582
35,33.9910145,-117.9246256
36,36.8378651,-119.694708
37,33.699966,-116.2150033
38,33.8787497,-118.2181684
39,33.9030132,-118.2555594
41,33.8556997,-117.5685398
42,33.790481,-117.914946
43,34.1054486,-117.8916957
44,33.8168203,-118.0295641
45,37.6996155,-122.4837408
46,38.5464754,-121.7395175
47,36.5461297,-119.3946681
48,33.937245,-118.1284913
49,37.4612036,-122.1353383
50,33.9746289,-117.5568942
51,32.7941575,-116.9348544
52,37.8997018,-122.2990078
53,34.0774129,-118.0398785
54,38.450942,-121.3711154
55,38.4223935,-121.4158851
56,37.8326428,-122.2806743
57,33.1355042,-117.0550211
58,38.2596288,-122.0587716
59,38.668294,-121.1550509
60,34.0764586,-117.4345773
61,33.7140173,-117.9541436
62,37.5032438,-121.975381
63,36.7428573,-119.7702952
64,36.7363862,-119.7191562
65,36.8080946,-119.7702685
66,36.808793,-119.859516
67,33.8808646,-117.9252119
68,33.8777915,-117.881461
69,33.7888369,-117.9632955
70,33.9024052,-118.318025
71,37.0075526,-121.5539926
72,34.1431813,-118.2495102
73,34.1164168,-117.8358544
74,36.3240171,-119.6738681
75,33.7898542,-118.3072444
77,33.9295892,-118.3520087
78,37.6737558,-122.0811626
79,37.6057462,-122.0647664
80,34.4262498,-117.3740875
81,34.1073,-117.1942474
82,36.8363413,-121.3910152
85,33.6848578,-117.8108903
86,33.9774784,-117.4601124
87,34.205424,-118.2200417
88,33.9323372,-117.9322687
89,32.7475768,-116.9606634
90,34.0430988,-117.9488414
92,33.6345936,-117.7103502
93,33.8334529,-118.1157724
94,34.6882939,-118.0966482
95,34.6903873,-118.1722973
97,32.7419356,-117.0472062
98,37.7001129,-121.7450369
99,38.0996325,-121.2658108
100,33.8780443,-118.1682075
102,33.7936903,-118.1890145
103,33.8320983,-118.1672327
104,33.7901074,-118.1384252
106,34.0185693,-118.2816684
108,34.0170144,-118.3356476
109,33.931801,-118.2830386
111,33.9985983,-118.4295673
112,34.0400116,-118.465534
113,34.0471431,-118.3399196
114,33.9626279,-118.2913216
115,33.9887498,-118.3084318
116,34.0903911,-118.3097105
117,34.0213081,-118.1605751
118,37.0563611,-120.8242757
119,33.9339172,-118.2120456
120,36.9739732,-120.0829973
121,37.7969505,-121.1950115
122,37.9968226,-122.1080199
123,33.6845149,-117.1748973
124,37.3325542,-120.4602442
125,37.606151,-122.3980184
126,37.4344304,-121.9002937
127,34.2590824,-118.4663235
128,37.6894082,-121.0321662
129,34.1506843,-118.0029545
130,34.063865,-117.707416
131,33.9168926,-117.2299329
132,37.1511093,-121.6547349
133,32.6766222,-117.0983178
134,37.5506095,-122.0486879
135,34.3785304,-118.5576838
136,33.896645,-117.5623522
137,34.227472,-118.4856586
138,34.2348409,-118.5363509
139,33.9027915,-118.0840107
140,37.7376592,-122.1977958
141,37.8103766,-122.2466221
142,33.2274878,-117.3252726
143,33.810058,-117.8369638
144,34.2192937,-119.1602336
145,34.173677,-119.1765963
146,34.2755992,-118.4113241
147,34.6095132,-118.1463899
148,34.5590224,-118.0828676
149,34.2349665,-118.4484093
150,34.1462583,-118.1151576
152,33.8015217,-117.2285644
153,38.2500577,-122.6289947
154,33.9843632,-118.0966281
155,37.9917052,-122.3011402
156,38.0056373,-121.8394922
157,37.9449442,-122.0568888
158,34.0897095,-117.737286
159,34.0334189,-117.7586859
160,36.0791332,-119.0461664
161,38.5843351,-121.2843404
162,34.1232449,-117.5945078
163,34.1216365,-117.5372512
164,34.0786915,-117.5577935
165,33.6407567,-117.5951494
166,37.4769804,-122.2235748
167,34.1349464,-117.3693136
168,34.0755142,-117.3709661
169,37.9317219,-122.3300162
170,37.7116431,-120.9567203
171,33.909506,-117.436972
173,33.8875053,-117.3398372
174,33.9054102,-117.4940621
175,34.0744367,-118.0721929
176,38.7898259,-121.2847203
177,38.730359,-121.2733338
179,38.6101823,-121.3869933
180,38.495105,-121.520864
181,38.4956561,-121.4357709
182,38.6411669,-121.500644
183,36.6995879,-121.6227352
184,34.0914864,-117.3161504
185,37.5022617,-122.2462898
186,33.442575,-117.6152724
187,32.7487556,-117.2061637
188,32.6769776,-117.0392837
189,32.7548377,-117.1447653
190,32.7087512,-117.0858537
191,32.7494303,-117.0994268
193,37.2504852,-121.8793641
195,37.2481988,-121.8026541
197,37.3391766,-121.8418943
199,37.3783992,-121.9029513
200,37.7003032,-122.124742
201,35.280123,-120.663376
203,33.7436273,-118.2918125
204,36.707769,-119.5555535
205,33.7002353,-117.9066996
206,37.3528102,-121.9784123
207,36.9611878,-122.0439694
208,34.9220747,-120.4264908
209,38.4276083,-122.7408597
210,34.422499,-118.537772
211,36.6183645,-121.8414836
213,34.0428139,-118.0316623
214,33.952658,-118.1837132
215,37.6559079,-122.4322586
216,37.9122703,-121.293698
217,38.0574307,-121.375269
218,38.0006207,-121.2885946
219,37.3389252,-122.0425122
220,34.1809002,-118.5355633
221,33.4826841,-117.0948993
222,33.8064244,-118.3302596
224,33.8414265,-118.3530822
225,37.737506,-121.4526259
226,36.228011,-119.330422
227,37.5215356,-120.8480259
228,39.1687232,-123.2118498
229,37.58954,-122.019824
230,34.0941278,-117.6696686
231,38.3618828,-121.9637255
232,38.1334953,-122.2224533
234,34.2645824,-119.2125992
235,34.4720474,-117.2892435
236,34.5080747,-117.3986436
237,36.312234,-119.3133276
238,33.192915,-117.2508936
239,34.0436986,-117.8491808
240,33.9740002,-118.2328261
241,36.9156015,-121.7770995
242,34.0784111,-117.9081408
243,34.1930759,-118.6275274
244,38.5896518,-121.551027
245,33.9413079,-118.047079
246,33.9989517,-118.0564714
247,38.5267391,-122.7887888
248,38.6784604,-121.783461
249,39.1426256,-121.6470052
250,34.0333173,-117.0719715
0,39.8433778,-105.0540063
1,39.8021303,-105.1034042
2,39.713128,-104.8224339
3,39.6038445,-104.7148171
4,39.6950002,-104.8665777
6,39.9155502,-105.056883
8,38.8046085,-104.8197343
9,38.8556686,-104.723976
10,38.9118075,-104.7153135
11,39.7114211,-105.0112257
12,39.7847212,-104.8104035
13,39.7484799,-104.9775339
14,39.697397,-104.9045066
15,39.6963083,-104.9396107
16,40.3923458,-104.6963829
17,39.5421202,-104.9471561
18,39.6978703,-105.0821827
19,39.7405833,-105.0796252
20,39.6171663,-105.0892165
22,38.3056273,-104.6149479
24,39.8718047,-104.9782692
0,41.7667322,-72.7105474
1,41.8014484,-72.2408666
0,28.6626471,-81.3847056
1,27.9040615,-81.8404456
2,26.3285507,-81.8039136
4,28.6450318,-81.3209695
5,26.2877409,-80.1849347
7,29.1980492,-81.0570223
9,30.3881552,-86.4477883
10,25.4566738,-80.4756702
14,25.8848644,-80.3062943
16,30.1632247,-81.7488763
17,30.2490227,-81.7437379
19,26.8076107,-80.0748087
20,26.1639186,-80.2261708
22,25.9708137,-80.2048799
24,25.8326961,-80.2080007
25,25.845174,-80.2535292
26,25.5762741,-80.3388502
27,25.6554787,-80.3966027
28,25.981281,-80.2768888
29,26.1563682,-81.7216739
30,25.925388,-80.1708291
32,29.6661211,-82.3254754
33,25.9255181,-80.2451135
34,28.5658202,-81.2040262
35,28.4884814,-81.4160237
36,28.5151123,-81.3112117
37,28.5511892,-81.4820015
38,26.0114272,-80.3605145
39,30.4737243,-87.2161448
40,30.437661,-87.2777846
41,26.1497109,-80.2605103
42,27.2486389,-80.3743033
43,28.7585331,-81.2873137
44,29.6363072,-82.3885872
46,30.4598072,-84.2249979
47,30.4498474,-84.315999
48,30.5616249,-84.220217
49,28.056044,-82.4278072
50,27.995689,-82.435953
51,28.0420473,-82.5041024
52,28.1754691,-82.3555615
53,26.6650052,-80.1125136
1,33.7704946,-84.3814251
2,33.9947921,-84.3500775
3,33.4701399,-82.0357885
4,33.8620567,-84.339374
5,32.6187956,-83.6779743
6,32.5390857,-84.9514614
7,33.6812027,-84.2267681
8,33.7521581,-84.2691952
9,33.8897682,-84.2852414
10,33.7261684,-84.7366385
11,33.9690954,-84.1447091
12,33.4653012,-84.4493872
13,34.2970216,-83.8568444
14,31.8432523,-81.6002315
15,34.0302608,-84.5825158
16,33.9222974,-84.0855257
17,32.8192658,-83.7118107
18,33.9208288,-84.5084325
19,33.9229048,-84.466665
20,33.5114764,-82.0901606
21,33.3930969,-84.7647467
22,33.9016829,-84.2042254
23,33.8752859,-84.5328767
24,33.8671449,-84.0153378
25,33.5507908,-84.2752253
26,33.8248845,-84.1114746
27,33.8048641,-84.191329
28,33.8516177,-84.2098876
29,33.8389979,-84.4817259
30,34.0870059,-84.5286902
1,13.4762824,144.7502228
0,21.323243,-157.8739895
1,21.468373,-158.0023388
0,47.7018315,-116.7853286
1,43.6349078,-116.3535347
2,43.548659,-116.5733208
0,41.7365401,-87.5872311
1,41.9496087,-88.0322808
2,41.7608864,-88.244369
3,41.7834272,-88.317629
4,40.5025038,-88.9530225
5,41.7051405,-88.0691448
6,41.9393309,-88.1385791
7,42.1196807,-88.2586201
8,40.1106356,-88.2430158
9,41.961923,-87.7273431
10,41.7942981,-87.7737534
11,41.9304951,-87.6440712
12,41.9037698,-87.6304046
13,41.8745371,-87.627028
14,41.9496879,-87.649083
15,41.9938379,-87.713588
16,41.937121,-87.7267558
17,41.9915139,-87.6607544
18,41.9363,-87.766767
19,41.8961076,-87.7075221
20,41.9113365,-87.6784925
21,41.8387562,-87.6466699
22,41.786453,-87.702933
23,41.8124959,-87.7242361
25,41.6777339,-87.6647579
27,41.7802361,-87.6470912
29,41.8523828,-87.6850089
30,41.9412668,-87.6893377
31,41.8501842,-87.7446835
32,41.6518971,-87.7374975
36,42.008854,-88.3355572
37,41.9115361,-87.8062794
39,41.7204176,-87.6933674
40,41.8641902,-87.8046495
42,41.9645783,-87.8079349
43,41.8910147,-87.8838674
44,39.7645824,-89.6830165
45,41.5216665,-88.1422916
46,41.5733384,-87.5582248
47,41.8209756,-87.8033085
48,41.5067813,-87.7291514
50,41.4707041,-90.4797818
51,42.2531342,-88.0201752
52,41.7159619,-88.2052567
53,42.0550915,-87.8352894
54,42.0125575,-87.7709967
55,41.9074833,-87.9038751
56,41.8604707,-87.9632668
58,40.7466939,-89.6113215
59,42.2667883,-89.0402032
60,41.9689068,-88.1125922
61,41.6013976,-87.6176235
0,37.9807373,-87.4920036
1,41.5572076,-87.3563725
2,41.6955238,-87.5191686
3,41.5243517,-87.4704191
4,39.7727979,-86.0225296
6,39.8887246,-86.1212129
7,39.8309623,-86.0393762
8,39.6959805,-86.0833817
9,39.7792941,-86.2511572
10,41.4701426,-87.3409242
12,39.4363826,-87.4128884
0,42.0153622,-93.6113081
1,41.9540418,-91.7165443
2,41.6300524,-93.697155
3,42.5111465,-90.7216562
0,39.1858991,-96.5744757
1,39.09835,-94.6475223
2,38.9431751,-95.2421097
3,37.6765046,-97.4279526
0,36.960771,-86.4698371
1,38.1726847,-85.8257634
2,38.2168924,-85.5867816
3,37.0753181,-88.695997
0,30.4247458,-91.0523663
1,30.3560252,-91.109759
2,30.4548438,-91.0810312
3,32.5287434,-93.7194149
4,30.5444822,-91.0265273
5,30.2326174,-90.9066045
6,29.9022749,-90.0299987
7,29.6074419,-90.7539122
8,30.1975448,-92.0731842
9,30.2020554,-93.2191124
10,30.0044807,-90.1882823
11,32.5447178,-92.0765942
12,29.9880321,-91.8247097
13,30.0038243,-90.0389072
14,29.9770267,-90.0965052
15,32.5423098,-92.6294533
16,32.4791005,-93.7140717
17,32.4476359,-93.8664052
18,29.8116107,-90.8155261
19,32.5165014,-92.1838718
20,30.6494665,-91.1417859
0,39.3551287,-76.703057
1,38.9461961,-76.7361744
2,38.7837674,-76.8977813
3,38.8462328,-76.8852925
4,39.1312484,-76.7405509
5,39.419031,-77.4450312
6,39.1879068,-77.1849467
7,39.1813734,-77.2718435
8,39.1925357,-76.6142192
9,39.6335819,-77.7625086
10,38.9655259,-76.9533347
11,39.0904461,-76.8567279
